Brand,Name,Price,Url,Tat
LEOTUDE,Regular Fit Full Sleeve Men's T-Shirt  ,299,https://amazon.in/LEOTUDE-Regular-Sleeve-T-Shirt-Color/dp/B09QHV3FY2/ref=sr_1_11?keywords=t-shirts&qid=1649058682&sr=8-11,"Monday, April 11"
LEOTUDE,Men's Regular Fit Matty Polo Men's T-Shirt Combo (Pack of 2)  ,549,https://amazon.in/LEOTUDE-Regular-Matty-T-Shirt-Color/dp/B09S5KF3FK/ref=sr_1_12?keywords=t-shirts&qid=1649058682&sr=8-12,"Monday, April 11"
EYEBOGLER,Regular Fit Men's Cotton T-Shirt  ,284,https://amazon.in/EYEBOGLER-Regular-Auto-Striper-T-Shirt-L-T285HS-AS7WHDNGR_1/dp/B08CDR6T1M/ref=sr_1_13?keywords=t-shirts&qid=1649058682&sr=8-13,"Saturday, April 9"
U.S. POLO ASSN.,Men's Regular fit T-Shirt  ,350,https://amazon.in/US-Polo-Association-Regular-UDTS0590_Yellow/dp/B0846CRNTD/ref=sr_1_14?keywords=t-shirts&qid=1649058682&sr=8-14,"Saturday, April 9"
Amazon Brand - Symbol,Men's Regular T-Shirt  ,179,https://amazon.in/Amazon-Brand-Symbol-T-Shirt-AW17PLSR3_L_Pure/dp/B073X4KMH6/ref=sr_1_15?keywords=t-shirts&qid=1649058682&sr=8-15,"Saturday, April 9"
AWG ALL WEATHER GEAR,Men's Polyester Round Neck T-Shirts - Pack of 4  ,449,https://amazon.in/AWG-Weather-T-Shirt-White-Medium/dp/B07B2X6LDJ/ref=sr_1_16?keywords=t-shirts&qid=1649058682&sr=8-16,"Monday, April 11"
BULLMER,Men's Slim T Shirt (Pack of 3)  ,659,https://amazon.in/BULLMER-Sleeve-Cotton-Tshirt-Multicolor/dp/B09C2JBSSC/ref=sr_1_17?keywords=t-shirts&qid=1649058682&sr=8-17,"Monday, April 11"
U.S. POLO ASSN.,Men's Solid Regular Fit T-Shirt  ,509,https://amazon.in/US-Polo-Regular-T-Shirt-UDTS0302_Denim/dp/B07DWQDZ6F/ref=sr_1_18?keywords=t-shirts&qid=1649058682&sr=8-18,"Saturday, April 9"
Amazon Brand - Symbol,Men's Regular T-Shirt  ,544,https://amazon.in/Amazon-Brand-Regular-T-Shirt-AW17PLPO5-4_XXL_Multicolor4/dp/B073X1X9J6/ref=sr_1_19?keywords=t-shirts&qid=1649058682&sr=8-19,"Saturday, April 9"
EYEBOGLER,Men's Solid Regular Fit T-Shirt  ,335,https://amazon.in/Seven-Rocks-Regular-T-Shirt-L-T15-NB/dp/B07BQCVTSS/ref=sr_1_20?keywords=t-shirts&qid=1649058682&sr=8-20,"Friday, April 15"
VIMAL JONNEY,Men's Regular Fit T-Shirt  ,281,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01800713QH8UCMRR1NMN&url=%2FVIMAL-JONNEY-Blended-Regular-T-Shirt%2Fdp%2FB085NTYVRC%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dt-shirts%26qid%3D1649058682%26sr%3D8-21-spons%26psc%3D1&qualifier=1649058682&id=2246414839695989&widgetName=sp_mtf,
Van Heusen Athleisure,Men T-Shirt  ,799,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02618593HIIK06D3UH0E&url=%2FVan-Heusen-Regular-T-Shirt-61005_Black%2Fdp%2FB083C2LYGK%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dt-shirts%26qid%3D1649058682%26sr%3D8-22-spons%26psc%3D1&qualifier=1649058682&id=2246414839695989&widgetName=sp_mtf,"Saturday, April 9"
Van Heusen Athleisure,Men's Solid Regular Fit Quick Dry Gym T-Shirt  ,797,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02449351ZQJNWA15UBQY&url=%2FVan-Heusen-Athleisure-Regular-61001_Navy_Small%2Fdp%2FB07R4NHRLT%2Fref%3Dsr_1_23_sspa%3Fkeywords%3Dt-shirts%26qid%3D1649058682%26sr%3D8-23-spons%26psc%3D1&qualifier=1649058682&id=2246414839695989&widgetName=sp_mtf,"Saturday, April 9"
VIMAL JONNEY,Cotton Blend Half Sleeve T-Shirt for Men-Men_T22_01  ,299,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01731712FRYP76BVIKX9&url=%2FVIMAL-JONNEY-Cotton-T-Shirt-Men-T_22_ANT_01-XXL%2Fdp%2FB093QRY1CP%2Fref%3Dsr_1_24_sspa%3Fkeywords%3Dt-shirts%26qid%3D1649058682%26sr%3D8-24-spons%26psc%3D1&qualifier=1649058682&id=2246414839695989&widgetName=sp_mtf,
fanideaz,Mens Cotton Half Sleeve Striped Polo T Shirt with Collar  ,637,https://amazon.in/fanideaz-Mens-Cotton-T-Shirts-GY_XL/dp/B0855CGJY5/ref=sr_1_25?keywords=t-shirts&qid=1649058682&sr=8-25,"Saturday, April 9"
AELOMART,Men's T Shirt-(Amt250105-P_Green)  ,447,https://amazon.in/AELOMART-Shirt-Amt25105-P_Green-Green-Medium/dp/B09KBK166K/ref=sr_1_26?keywords=t-shirts&qid=1649058682&sr=8-26,"Tuesday, April 12"
STATUS MANTRA,Cotton Regular Fit Half Sleeves Basic Printed T-Shirts for Mens  ,499,https://amazon.in/STATUS-MANTRA-Regular-Sleeves-Printed/dp/B09STZWGBM/ref=sr_1_27?keywords=t-shirts&qid=1649058682&sr=8-27,
EYEBOGLER,Regular Men's Cotton Designer T-Shirt (EB1T67)  ,320,https://amazon.in/EYEBOGLER-Regular-Red-White-Designer-XL-EB1T67-WRWH_X-Large/dp/B089B3C74D/ref=sr_1_28?keywords=t-shirts&qid=1649058682&sr=8-28,"Friday, April 15"
LEOTUDE,Regular Fit Half Sleeve Polo Men's T-Shirt  ,299,https://amazon.in/LEOTUDE-Regular-Sleeve-T-Shirt-Colored/dp/B09QHRCN48/ref=sr_1_29?keywords=t-shirts&qid=1649058682&sr=8-29,"Monday, April 11"
Urbano Fashion,Men's Printed Full Sleeve Slim Fit Cotton T-Shirt  ,399,https://amazon.in/Urbano-Fashion-Printed-T-Shirt-aopleaffull-drgreen-XL/dp/B08JQKHXGN/ref=sr_1_30?keywords=t-shirts&qid=1649058682&sr=8-30,"Saturday, April 9"
Puma,Men's Regular T-Shirt  ,"1,299",https://amazon.in/Puma-Mens-Regular-T-Shirt-58675950_Blue/dp/B096KT3JZD/ref=sr_1_31?keywords=t-shirts&qid=1649058682&sr=8-31,"Monday, April 11"
Austin Wood,Men's Regular Fit T-Shirt  ,399,https://amazon.in/Austin-Wood-Mens-Striped-T-Shirt/dp/B084GBMGCH/ref=sr_1_32?keywords=t-shirts&qid=1649058682&sr=8-32,
Puma,Men's Regular T-Shirt  ,519,https://amazon.in/Puma-Mens-Regular-T-Shirt-84856302_White/dp/B096KT4FZR/ref=sr_1_33?keywords=t-shirts&qid=1649058682&sr=8-33,"Monday, April 11"
U.S. POLO ASSN.,Men's Regular Fit T-Shirt  ,947,https://amazon.in/US-Polo-Association-Regular-USTS6137_Outer/dp/B07TK4RVSZ/ref=sr_1_34?keywords=t-shirts&qid=1649058682&sr=8-34,"Saturday, April 9"
